"play ID","game ID","game name",userid,date,quantity,location,length,incomplete,nowinstats,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 rating","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 rating","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 rating","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 rating","player 4 win","player 5 username","player 5 name","player 5 startposition","player 5 color","player 5 score","player 5 new","player 5 rating","player 5 win","player 6 username","player 6 name","player 6 startposition","player 6 color","player 6 score","player 6 new","player 6 rating","player 6 win","player 7 username","player 7 name","player 7 startposition","player 7 color","player 7 score","player 7 new","player 7 rating","player 7 win","player 8 username","player 8 name","player 8 startposition","player 8 color","player 8 score","player 8 new","player 8 rating","player 8 win"
12546227,14996,"Ticket to Ride: Europe",,2014-08-27,,Nižbor,60,,,,,Bertík,2,,115,,,,,"Bětka",3,,125,,,1,Tatsukochi,hejtmy,1,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12617461,123540,Tokaido,,2014-09-05,,"Břevnov",60,,,,,Táta,5,,,1,,,,Máma,4,,,1,,1,,Martin,3,,,1,,,,"Bětka",2,,,1,,,Tatsukochi,hejtmy,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
12617487,133038,"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set",,2014-09-04,,"Petřiny",90,,,"First game with Erzen and the elvish rogue. Won by an inch",,"Bětka",2,,,1,,1,Tatsukochi,hejtmy,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12618290,133038,"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set",,2014-09-06,,"Petřiny",80,,,"Second scenario. We went through it slowly, searching the decks for good cards. Killed the dangerous alchemist in just the time.",,"Bětka",2,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12658469,123540,Tokaido,,2014-09-13,,"Petřiny",40,,,,,"Bětka",2,,69,,,,Tatsukochi,hejtmy,3,,78,1,,1,,Echy,1,,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12658490,133038,"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set",,2014-09-13,,"Petřiny",80,,,"The first scenario again with the mighty bard helping along the way. Gained a bunch of spells and items and got prepared for the next adventure.",,"Bětka",2,,,,,,Tatsukochi,hejtmy,3,,,,,,,Echy,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12684395,102794,"Caverna: The Cave Farmers",,2014-09-16,,"Petřiny",120,,,,,"Bětka",2,,43,1,,,Tatsukochi,hejtmy,1,,84,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12692296,69552,"Panic Station",,2014-09-16,,"U Radka",150,,,"Very long and in the end easy accomplished game..... It isn't well designed",Tatsukochi,hejtmy,,,,,,,,"Bětka",,,,,,,,Radek,,,,,,,,"Helča",,,,,,,,Mirka,,,,,,,,Ondra,,,,,,,,,,,,,,,,,,,,,,
12704199,121921,"Robinson Crusoe: Adventures on the Cursed Island",,2014-09-19,,"Petřiny",90,,,"Saving Jenny. Saved her with the last two health and sailed away on the very last round with just the right amount of everything. Two turns before the last one we rolled like gods to make it up for the miserable five up to that moment. Echy was almost dead from the beginning, nobody had any food to eat and camp to settle our heads at. Horrible but rewarding experience",,"Bětka",2,,,,,1,,Echy,3,,,,,1,Tatsukochi,hejtmy,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12704210,133038,"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set",,2014-09-19,,"Petřiny",120,,,"Second scenario with the help of a sorceress and cleric. Won in the last round. Some heavy strategy was going on!",,"Helča",5,,,,,,,Radek,4,,,,,,,Echy,3,,,,,,,"Bětka",2,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12754971,24480,"The Pillars of the Earth",,2014-09-26,,"U Mokrišů",120,,,,Tatsukochi,hejtmy,,,44,1,,,,Echy,,,44,1,,,,Sam,,,49,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
